id,ProvinceORState,CountryOrRegion,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
83,Illinois,US,2020-03-13T23:33:06,46,0,2,40.3495,-88.9861
84,,Russia,2020-03-13T22:21:58,45,0,3,61.524,105.3188
85,,Chile,2020-03-13T22:21:58,43,0,0,-35.6751,-71.543
86,Texas,US,2020-03-13T23:53:03,43,0,0,31.0545,-97.5635
87,Pennsylvania,US,2020-03-13T23:53:03,41,0,0,40.5908,-77.2098
88,Louisiana,US,2020-03-13T23:53:03,36,0,0,31.1695,-91.8678
89,,Serbia,2020-03-13T23:33:05,35,0,0,44.0165,21.0059
90,,Luxembourg,2020-03-13T23:33:06,34,0,0,49.8153,6.1296
91,,Albania,2020-03-13T22:21:58,33,1,0,41.1533,20.1683
92,,Croatia,2020-03-13T23:53:02,32,0,1,45.1,15.2
93,,Slovakia,2020-03-13T23:33:05,32,0,0,48.669,19.699
94,,Argentina,2020-03-13T22:21:58,31,2,0,-38.4161,-63.6167
95,Virginia,US,2020-03-13T23:53:03,30,0,0,37.7693,-78.17
96,New Jersey,US,2020-03-12T21:39:10,29,1,0,40.2989,-74.521
97,,Pakistan,2020-03-13T23:33:05,28,0,2,30.3753,69.3451
98,,Peru,2020-03-13T23:33:05,28,0,0,-9.19,-75.0152
99,,Belarus,2020-03-13T22:21:59,27,0,3,53.7098,27.9534
100,,Panama,2020-03-13T22:21:58,27,1,0,8.538,-80.7821
101,,Algeria,2020-03-13T11:09:08,26,2,8,28.0339,1.6596
102,Tennessee,US,2020-03-13T23:53:03,26,0,0,35.7478,-86.6923
103,,Georgia,2020-03-13T23:53:02,25,0,0,42.3154,43.3569
104,,South Africa,2020-03-13T22:21:58,24,0,0,-30.5595,22.9375
105,,Bulgaria,2020-03-13T22:21:58,23,1,0,42.7339,25.4858
106,Alberta,Canada,2020-03-13T13:33:03,23,0,0,53.9333,-116.5765
107,,Costa Rica,2020-03-13T22:21:58,23,0,0,9.7489,-83.7534
108,Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655
109,,Hungary,2020-03-13T22:21:58,19,0,0,47.1625,19.5033
110,,Oman,2020-03-13T23:33:05,19,0,9,21.4735,55.9754
111,Wisconsin,US,2020-03-13T23:53:03,19,0,1,44.2685,-89.6165
112,Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
113,Maryland,US,2020-03-13T23:53:03,18,0,0,39.0639,-76.8021
114,Quebec,Canada,2020-03-13T13:33:03,17,0,0,52.9399,-73.5491
115,,Ecuador,2020-03-13T22:21:59,17,0,0,-1.8312,-78.1834
116,,Latvia,2020-03-13T22:21:58,17,0,1,56.8796,24.6032
117,Iowa,US,2020-03-13T23:53:03,17,0,0,42.0115,-93.2105
118,Nevada,US,2020-03-13T23:53:03,17,0,0,38.3135,-117.0554
119,North Carolina,US,2020-03-13T11:09:36,17,0,0,35.6301,-79.8064
120,,Tunisia,2020-03-13T23:33:05,16,0,0,33.8869,9.5375
121,Michigan,US,2020-03-13T23:53:03,16,0,0,43.3266,-84.5361
122,,Azerbaijan,2020-03-13T12:13:36,15,1,3,40.1431,47.5769
123,,Cyprus,2020-03-13T23:53:02,14,0,0,35.1264,33.4299
124,,North Macedonia,2020-03-13T23:33:05,14,0,1,41.6086,21.7453
125,Kentucky,US,2020-03-13T23:53:03,14,0,0,37.6681,-84.6701
126,Minnesota,US,2020-03-13T23:53:03,14,0,0,45.6945,-93.9002
127,Rhode Island,US,2020-03-13T23:53:03,14,0,0,41.6809,-71.5118
128,,Bosnia and Herzegovina,2020-03-13T22:21:59,13,0,0,43.9159,17.6791
129,,Colombia,2020-03-13T22:21:59,13,0,0,4.5709,-74.2973
130,Indiana,US,2020-03-13T11:09:35,13,0,0,39.8494,-86.2583
131,,Malta,2020-03-13T23:33:06,12,0,1,35.9375,14.3754
132,,Mexico,2020-03-13T22:21:59,12,0,4,23.6345,-102.5528
133,South Carolina,US,2020-03-12T21:39:10,12,0,0,33.8569,-80.945
134,,Brunei,2020-03-13T22:21:58,11,0,0,4.5353,114.7277
135,Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55
136,,Senegal,2020-03-13T23:33:05,10,0,1,14.4974,-14.4524
137,District of Columbia,US,2020-03-11T22:53:03,10,0,0,38.8974,-77.0268
138,,Maldives,2020-03-13T23:33:05,9,0,0,3.2028,73.2207
139,Arizona,US,2020-03-11T18:52:04,9,0,1,33.7298,-111.4312
140,,Armenia,2020-03-13T22:22:02,8,0,0,40.0691,45.0382
141,,Jamaica,2020-03-13T22:22:02,8,0,0,18.1096,-77.2975
142,South Dakota,US,2020-03-11T22:53:03,8,1,0,44.2998,-99.4388
143,,Afghanistan,2020-03-13T22:21:59,7,0,0,33,65
144,,Morocco,2020-03-13T23:33:06,7,1,1,31.7917,-7.0926
145,,Lithuania,2020-03-13T22:22:02,6,0,0,55.1694,23.8813
146,,Moldova,2020-03-13T23:33:06,6,0,0,47.4116,28.3699
147,,Paraguay,2020-03-13T23:33:06,6,0,0,-23.4425,-58.4438
148,,Sri Lanka,2020-03-13T23:33:06,6,0,1,7.8731,80.7718
149,Arkansas,US,2020-03-12T21:39:10,6,0,0,34.9697,-92.3731
150,New Hampshire,US,2020-03-12T21:39:10,6,0,0,43.4525,-71.5639
151,,Cambodia,2020-03-13T22:22:02,5,0,1,12.5657,104.991
152,,Dominican Republic,2020-03-13T22:22:02,5,0,0,18.7357,-70.1627
153,,Fench Guiana,2020-03-13T22:22:02,5,0,0,4,-53
154,,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258
155,,New Zealand,2020-03-13T22:22:01,5,0,0,-40.9006,174.886
156,,Reunion,2020-03-13T12:33:03,5,0,0,-21.1151,55.5364
157,,Turkey,2020-03-13T23:33:06,5,0,0,38.9637,35.2433
158,Connecticut,US,2020-03-13T11:09:23,5,0,0,41.5978,-72.7554
159,Ohio,US,2020-03-12T09:33:03,5,0,0,40.3888,-82.7649
